Sentences,Opinion Term,Aspect Category,Aspect Polarity ,opinion term,aspect  category,Aspect polarity,opinion term,aspect category ,Aspect polarity ,opinion term,aspect  category ,aspect polarity ,,,,,,
My experience is that they are never on time and always making up excuses and trying to get away with it.,never on time and always making up excuses,Service person's attitude,,,,,,,,,,,,,,,,
"must have app ,very useful and convenient",must have app,App utility,,,,,,,,,,,,,,,,
work pending full Payment advance,work pending,Company's service,,,,,,,,,,,,,,,,
Very good experience I had with Urban Clap. The beautician was very good. I am happy with the services.,happy with the services,Company's service,,,,,,,,,,,,,,,,
"Both technician were professional, very polite behavior, did thorough service cleaning of AC. Satisfied with the work. Excellent experience",very polite behavior,Service person's attitude,,thorough service,Service quality,Positive,,,,,,,,,,,,
Very nice app,very nice app,App utility,,,,,,,,,,,,,,,,
"Very Bad experience, after getting service for my AC. It stopped cooling and you are advertising for 2x cooling. Now I am trying to reach its customer care but it is always saying ""Call wait time is high"".",stopped,Service quality,,customer care,Customer care,Negative,,,,,,,,,,,,
One stop hassle-free solution Thanks,one stop hassle-free solution,App utility,,,,,,,,,,,,,,,,
It was a fantastic service I got Tv Repair In Lowest Price Thank You Uc Loved The Service,fantastic service,Company's service,,lowest price,Cost,Positive,,,,,,,,,,,,
excellent service,excellent service,Company's service,,,,,,,,,,,,,,,,
Got AC servicing and repairs done. Amazing and professional services. Technician was very polite and was well aware of the job role.,amazing and professional services,Company's service,,very polite and was well aware of the job role,Service person's attitude,Positive,,,,,,,,,,,,
Service person go on as per schedule time.,service person go on as per schedule time,Service person's attitude,,,,,,,,,,,,,,,,
Excellent app,excellent app,App utility,,,,,,,,,,,,,,,,
Be careful guys. Today I called for AC Service from urban clap. Total expenses was as per UC app to be 350 for service about water leakage. This guy checked and asked for extra money 1200 Rs. for all if u want. UC app showed different price and actual guy will ask for another extra money..so guys be careful,asked for extra money,Service person's attitude,,,,,,,,,,,,,,,,
really good service.,really good service,Company's service,,,,,,,,,,,,,,,,
Very bad experience.... As i have booked for an appointment but from morning till evening it was just showing rescheduled i hate it... Again i didn't get any appointment for two days.. they didn't inform before . When the time has been over they have apologize for the inconvenience... So one rating for this app,rescheduled,Service schedule,,,,,,,,,,,,,,,,
During covid 19 urban clap was the savior app,savior app,App utility,,,,,,,,,,,,,,,,
"This my first experience of hiring a cleaner through an app and I've got to say that it very amazing and very reasonable. My cleaner was May, she came on time, completed all her within the given time and followed all the instructions given to her. Her attention to detail was also very good, her attitude was also nice, I am definitely very satisfied. My kitchen is so clean that I don't want to even touch itÂ­. I definitely will recommend to all my family and friends.",very amazing and very reasonable,Company's service,,attitude was also nice,Service person's attitude,Positive,,,,,,,,,,,,
Perfect App,perfect app,App utility,,,,,,,,,,,,,,,,
Good service,good service,Company's service,,,,,,,,,,,,,,,,
Love this app n service too,love this app,App utility,,,,,,,,,,,,,,,,
"lack of communication, bad customer service",bad customer service,Customer care,,,,,,,,,,,,,,,,
Person who came for uninstallation of my AC took Cash in advance for Re-installing AC and told me not to inform urban company about it. Now his phone is switched off. Fraud staff,fraud staff,Service person's attitude,,,,,,,,,,,,,,,,
Booked 4 ac service from this app and facing a lot of issues no one from urbancompany has tried to contact me only the the technician who was assigned is calling me and trying to manipulate the reasons and forcing me to change the rating i have done on uc app Never go for them unprofessional service and behavior,unprofessional service and behavior,Company's service,,,,,,,,,,,,,,,,
Worst experience with my AC service...after 1.5 month water coming out from AC...such a bad service..,such a bad service,Company's service,,,,,,,,,,,,,,,,
Best app,best app,App utility,,,,,,,,,,,,,,,,
not many experienced people working under Urban clan platform as lot are fresher's... Also require good Elevator Repair and Maintenance people for few of my multistore buildings,not many experienced people,Service person's attitude,,,,,,,,,,,,,,,,
I tried to book split AC service but app doesn't work it's always showing there is no professionals now,app doesn't work,App functionality,,,,,,,,,,,,,,,,
Great service. Professional approach.. Service with Smile.. Punctual.. Quality output...,great service,Company's service,,punctual,Service person's attitude,Positive,,,,,,,,,,,,
Great service by urban company. I got my AC repaired. The technician was well aware of the components and the working technology. Did proper troubleshoot and fixed the AC.,great service,Company's service,,well aware,Service person's attitude,Positive,,,,,,,,,,,,
Very good service and I will definitely recommend for this app.,very good service,Company's service,,,,,,,,,,,,,,,,
They don't provide me service,service,Company's service,,,,,,,,,,,,,,,,
Super app,super app,App utility,,,,,,,,,,,,,,,,
"can't call the agent, no option",no option,App UI,,,,,,,,,,,,,,,,
The app is good in some cases the attendent does not reach on time. Also the service is not provided as shown in d ad. Ram Yadav,app is good,App utility,,attendent does not reach on time,Service person's attitude,Negative,,,,,,,,,,,,
Excellent service by the engineers,excellent service,Company's service,,,,,,,,,,,,,,,,
"I called service persons for diakin ac, what they did was pathetic, they just emptied the gas without informing me. And asked me to get it refilled for 2500 on private basis which I refused. Later on Delhi went into Lockdown and it's 40 degree.. I cannot define the experience.. Urbanco is pathetic, fraud and unethical company. They have hired frauds, unprofessional and unskilled people and they are into unethical business practices..",fraud and unethical company,Company's service,,unskilled people,Service person's attitude,Negative,,,,,,,,,,,,
behaviour of technician is good,behaviour,Service person's attitude,,,,,,,,,,,,,,,,
They are not helping me with their refer and earn service. Dumb app,dumb app,App utility,,,,,,,,,,,,,,,,
excellent job,excellent job,Company's service,,,,,,,,,,,,,,,,
"Bogus fraud company. Only for advertisement they spend, rest they have unexperienced staff with no relevant tools, in add they show u. They are using jet pump, but in reality they don't carry. They charged unnecessary. I booked for ac service. They later on technician said it has cooling issue gas needs to filled, then later on he said coil has been damaged total Cost around 8 to 9 thousand. Then later on I saw plug was removed that's why cooling off. It seems how big nonsense company is this.",unexperienced staff,Service person's attitude,,charged unnecessary,Cost,Negative,,,,,,,,,,,,
"Useless app, no respect vendors",useless app,App utility,,,,,,,,,,,,,,,,
"Most unprofessional app, unprofessional call center.",unprofessional app,App utility,,unprofessional call center,Customer care,Negative,,,,,,,,,,,,
I tried booking for a haircut from last 10 days but i couldnt. Showing error.,showing error,App functionality,,,,,,,,,,,,,,,,
App not working,app not working,App functionality,,,,,,,,,,,,,,,,
Wonderful experience of Salon at home. All equipments properly sanitized.,wonderful experience,Company's service,,equipments properly sanitized,Service quality,Positive,,,,,,,,,,,,
"good service, number 1.",good service,Company's service,,,,,,,,,,,,,,,,
I faced some time punctuality issue.. But service and experience is mind blowing and loved it.,punctuality issue,Service person's attitude,,service and experience is mind blowing,Company's service,Positive,,,,,,,,,,,,
good work,good work,Company's service,,,,,,,,,,,,,,,,
good work fantastic,good work,Company's service,,,,,,,,,,,,,,,,
Great service... Thank you for ensuring Covid 19 safety precautions...,great service,Company's service,,,,,,,,,,,,,,,,
Very nice amazing service,amazing service,Company's service,,,,,,,,,,,,,,,,
Good nice service,nice service,Company's service,,,,,,,,,,,,,,,,
No service in patna in regard to salon for men.got response from company but still searching for slot,no service,App functionality,,,,,,,,,,,,,,,,
"hope that this app continue to be the same throughout, very useful app",very useful app,App utility,,,,,,,,,,,,,,,,
professionals only! Nice,professionals only,Service person's attitude,,,,,,,,,,,,,,,,
Price is too high.,price is too high,Cost,,,,,,,,,,,,,,,,
Very good service at better Cost.,very good service,Company's service,,better Cost,Cost,Positive,,,,,,,,,,,,
Very Professional app,professional app,App utility,,,,,,,,,,,,,,,,
Manisha brilliantly did the job. She is very Good by nature and her work. She sanitize everything infact she is sanitizing her hands many time during her work. She used every precautions and safety which is needed in this covid situation. I totally appreciated her work and as well urban company.,good by nature,Service person's attitude,,brilliantly did the job,Service quality,Positive,,,,,,,,,,,,
good work by him,good work,Service quality,,,,,,,,,,,,,,,,
Not working only time waste,not working,Company's service,,,,,,,,,,,,,,,,
App and features are good - Having problem of location fixing.,app and features are good,App utility,,problem of location fixing,App functionality,Negative,,,,,,,,,,,,
Highly unprofessional staff. Scheduled ac service for 8a.m and the concerned person has not arrived till 8:50am. Not going to use urbanclap anymore.,highly unprofessional staff,Service person's attitude,,,,,,,,,,,,,,,,
app not opening!!,app not opening,App functionality,,,,,,,,,,,,,,,,
excellent service,excellent service,Company's service,,,,,,,,,,,,,,,,
Amazing app for a householder. All solutions possible provided and great network of service professionals. Very happy with the service and the ability of getting it done as per our time flexibilities. Keep it up!!!,amazing app,App utility,,great network of service professionals,Service person's attitude,Positive,very happy with the service,Company's service,Positive,,,,,,,,,
"Worst Experience After hearing about the services of urban company, i thought let's try out their services for the first time,But after booking the services my appointment got rescheduled almost 10 times and the beautician was giving excuses like app crash,network issue couldn't call, tyre puncture,headache , and what not.I called up the customer care and they said that they will call personally and check that whether i am able to receive the services or not however none calls rcvd",rescheduled,Service schedule,,giving excuses,Service person's attitude,Negative,customer care,Customer Care,Negative,,,,,,,,,
"The worst services given by this company.On 16/5/2021 I have been cheated by the AC technician Rajesh Ganesh Sharma ,he ruined my AC and told me to book the 2nd service out of urban company app and tricked me in paying him 2800 rs he ruined my air conditioner and now don't want to come back to repair it. This is a fraud company they don't have any knowledge about the background of their employees and neither they have a direct customer service number to call. Please don't book your services.",ruined,Service quality,,cheated,Service person's attitude,Negative,customer service,Customer Care,Negative,,,,,,,,,
I had a lot of expectations with urban company ac service.. the technician came and did the service telling me that AC gas is almost exhausted .. my AC is 1 year old and I was not sure.. it was giving a good cooling but I thought I should have this service.. 4 hours later the AC is not giving a normal air.. this entire thing is forged.. technician does it intentionally.. telling me to pay 1500 for gas since urban charges 2000 .. I said it's one year old so I will talk with LG first..,forged,Service person's attitude,,,,,,,,,,,,,,,,
Was a great help But the barber should be on time,great help,Service quality,,should be on time,Service person's attitude,Negative,,,,,,,,,,,,
Very good app I like,very good app,App utility,,,,,,,,,,,,,,,,
I have bought a new phone and trying to install urban company app but each time I try it gets stuck at 82%...all other apps are getting installed normally....what could be the issue...,gets stuck,App functionality,,,,,,,,,,,,,,,,
"A TOTAL RIP OFF, MONEY SUCKERS, SHODDY JOB AND DOES NOT OWN RESPONSIBILITY FOR THE WORK DONE, A TOTAL MONEY SUCKING COMPANY!!!!! Bunch of cheats!??",bunch of cheats,Company's service,,,,,,,,,,,,,,,,
Very good services from urban clap staffs I got hair cut from urban clap I got a wonderful hair cut from the team punctual time stylish arrived professional job done by him very hygiene at covid time also even lockdown time thanks powerfull people will come from powerful places experts will come from the urban clap please all support to growing company they're helping all people who needs services especially urban clap company is helping all poor people's all over india state great thanks a lot,very good services,Company's service,,punctual time,Service person's attitude,Positive,professional job done,Service quality,Positive,,,,,,,,,
No complaint mechanism against the service providers/executives. Many of the executives have always overcharged me for the services.,no complaint mechanism,App UI,,always overcharged,Cost,Negative,,,,,,,,,,,,
Booked for electrician Nobody came and nobody called. Waited for 3 days and after that we arranged from local shop.,nobody came and nobody called,Service person's attitude,,,,,,,,,,,,,,,,
Fully satisfied with service,fully satisfied with service,Company's service,,,,,,,,,,,,,,,,
"keep it up, good company",good company,Company's service,,,,,,,,,,,,,,,,
Good job wow,good job,Company's service,,,,,,,,,,,,,,,,
Excellent service professional staff,excellent service,Company's service,,professional staff,Service person's attitude,Positive,,,,,,,,,,,,
Amazing service great job by the team,amazing service,Company's service,,great job by the team,Service quality,Positive,,,,,,,,,,,,
Issues everywhere.,issues everywhere,App functionality,,,,,,,,,,,,,,,,
"Unsatisfactory, the salon for women, untrained, unprofessional ladies, they take more money than required, no reports, complaints etc . Salons in real are far better",unprofessional,Service person's attitude,,,,,,,,,,,,,,,,
Expensive and late service,expensive and late service,Cost,,,,,,,,,,,,,,,,
Good experience,good experience,Company's service,,,,,,,,,,,,,,,,
I am unable to download this application even after several tries. Kindly help.,unable to download,App functionality,,,,,,,,,,,,,,,,
The quality assurance in everything that UC does is amazing. Assuring quality in a tier 2 city is not easy. The hard work is visible in the Customer Experience and feedback,quality assurance,Service quality,,,,,,,,,,,,,,,,
good service but very expensive,good service,Company's service,,very expensive,Cost,Negative,,,,,,,,,,,,
worst customer service.... they don't have any Customer care no. if you'll face any problem you can't find anyplace to do complaint..,worst customer service,Customer care,,,,,,,,,,,,,,,,
"They don't give importance to customers or the professional either, just a money looting company",don't give importance to customers,Company's service,,,,,,,,,,,,,,,,
Extremely dissatisfied with assigned person we paid online the slot was today28 may 21 for 430 he didn't turn up giving up a lame excuse for his delay and then after 90 mins he rescheduled the appointment without any intimidation to the customer very bad behavioir of the person spoke arrogantly and this is believed to be a customerservice oriented company for cancellation there is no full refund this company is a cheat and if there is any genuinely pls call back as there is no contact on app,didn't turn up,Service person's attitude,,no full refund,Payment,Negative,,,,,,,,,,,,
Good service,good service,Company's service,,,,,,,,,,,,,,,,
Very bad experience,very bad experience,Company's service,,,,,,,,,,,,,,,,
No service in app,no service in app,App functionality,,,,,,,,,,,,,,,,
Its a savior app specially during this pandemic. Love it!,savior app,App utility,,,,,,,,,,,,,,,,
Fully satisfied with the service,satisfied with the service,Company's service,,,,,,,,,,,,,,,,
excellent service,excellent service,Company's service,,,,,,,,,,,,,,,,
"she was perfect, nice behavior",nice behavior,Service person's attitude,,,,,,,,,,,,,,,,
Dilip was excellent with utmost professionalism . keep the good work .,utmost professionalism,Service person's attitude,,,,,,,,,,,,,,,,
Worst app,worst app,App utility,,,,,,,,,,,,,,,,
Good app,good app,App utility,,,,,,,,,,,,,,,,
Good service love app,good service,Company's service,,,,,,,,,,,,,,,,
Worst experience,worst experience,Company's service,,,,,,,,,,,,,,,,
"professional, excellent results.",excellent results,Service quality,,,,,,,,,,,,,,,,
Excellent service,excellent service,Company's service,,,,,,,,,,,,,,,,
No Professional Available !! I am trying to book hair cut for two since last 10 days but no slot/professional available in Sanganer Jaipur. Pathetic!!!,no professional available,App functionality,,,,,,,,,,,,,,,,
Very good services.Caring the covid precautions all hygienic norms. Charges are genuine.Work is excellent. I highly recommend UC.,very good services,Company's service,,charges are genuine,Cost,Positive,,,,,,,,,,,,
Not a good service as par your explanation. Not senetize place and not explain price details also they want additional help from us instead of taking help from his helper. after reparing a/c charges more than expected initialy they try to show you less price as visit charge or as a reparing whiche is less after booking visit which is too much high price 3650 rs not good service against i spand money,not a good service,Company's service,,charges more,Service person's attitude,Negative,,,,,,,,,,,,
highly recommended app,highly recommended app,App utility,,,,,,,,,,,,,,,,
Highly dissipointed by app,highly dissipointed by app,App utility,,,,,,,,,,,,,,,,
"Horrible Experience. The so called ""professionals"" come and cause even more issues during the service and then make you pay twice. The customer care hangs up during a call where we talk with full respect.",cause even more issues,Service quality,,pay twice,Cost,Negative,customer care hangs up,Customer Care,Negative,,,,,,,,,
Very bad professionals..,bad professionals,Service person's attitude,,,,,,,,,,,,,,,,
Great haircut service,service,Service quality,,,,,,,,,,,,,,,,
cooperative technician,cooperative,Service person's attitude,,,,,,,,,,,,,,,,
All are cheaters here they don't say the whole problem once the technician are there doing their side business and these Urban guys are so clever that they will say will call u within 60 minutes and then they will text us saying we could not reach you will try again after 2 hours. Unfortunately they must not have any clock because that 2 hours never come up in reality. Such a pathetic company never seen before.,doing their side business,Service person's attitude,,pathetic company,Company's service,Negative,,,,,,,,,,,,
For last 10 days looking for home saloon facility and still shows unavailable. If that is show you should remove it from the menu.,still shows unavailable,App functionality,,,,,,,,,,,,,,,,
I cancelled my ac servicing but didn't get refund amount back after several times calling UC.,refund amount,Payment,,,,,,,,,,,,,,,,
Overall fine service,fine service,Company's service,,,,,,,,,,,,,,,,
Ill mannered professionals. Please hire verified individuals,ill mannered professionals,Service person's attitude,,,,,,,,,,,,,,,,
Very fine service,very fine service,Company's service,,,,,,,,,,,,,,,,
Good service,good service,Company's service,,,,,,,,,,,,,,,,
No control on there service technicians,no control,Company's service,,,,,,,,,,,,,,,,
Very bad app,bad app,App utility,,,,,,,,,,,,,,,,
Trying to book split AC service for last 3 weeks. Always ended in no professionals in your area.,no professionals in your area,App functionality,,,,,,,,,,,,,,,,
Great experience with urban clap.very nice service,very nice service,Company's service,,,,,,,,,,,,,,,,
Very focused and customer oriented organization. They take any complaints seriously and provide appreciate resolution. Even though during Covid also you get quick resolution to any of the issues. Employee are also very professional and do their job honesty.,very focused and customer oriented organization,Company's service,,provide appreciate resolution,Customer care,Positive,very professional,Service person's attitude,Positive,,,,,,,,,
Good going. Keep it up team.,keep it up team,Company's service,,,,,,,,,,,,,,,,
This company is a rip off. They exploit people. Don't book using this app. They are so pathetic that they don't even have a call back number and grayed out request for a call back. You guys suck.,company is a rip off,Company's service,,,,,,,,,,,,,,,,
"Extremely unprofessional behavior, if during lockdown situation, co. Is unable to provide the services then why they accept the booking? I have been trying to get a service since sunday and has been facing issues with the unprofessional behavior of UC. Customer support executive is just for name sake. They have been trained with just 3-4 lines that they use and close the call. No genuine resolution is provided to the customers. Highly and extremely disappointed. Don't try to delete the review!!",Customer care executive,Customer care,,,,,,,,,,,,,,,,
Urban Company has tie up with local pathetic engineers who damages the product rather than fixing it. Urban Company do not have any well trained or experienced engineers. They are just good with servicing(cleaning) the product and when something damages then Urban Company simply says we cant do anything about it. Seriously? What a lame and pathetic business model is it?,damages the product,Service quality,,,,,,,,,,,,,,,,
Very poor service and if there 0 rating I will prefer to go with it,very poor service,Company's service,,,,,,,,,,,,,,,,
Very good service.,very good service,Company's service,,,,,,,,,,,,,,,,
Nice work urban clap,Nice work,Company's service,,,,,,,,,,,,,,,,
"easy to use app, can see the rating of the cleaner. everything on time!",easy to use app,App UI,,,,,,,,,,,,,,,,
"stupid app built , not worth that much advertising for this trash app.",stupid app,App utility,,,,,,,,,,,,,,,,
Good app,good app,App utility,,,,,,,,,,,,,,,,
Very worst experience no help after servicing and even technician are cheaters.. you allready have my contact number....and one more thing u people said that you mechanic is fully trained ..wrong ...u send chor technician at my home ..now he is not responding me.and ur customer service team said warranty exire we can't help u ...u spoiled and broke my ac and said 30 days warranty laps nice,cheaters,Service person's attitude,,spoiled,Service quality,Negative,,,,,,,,,,,,
To much expensive,much expensive,Cost,,,,,,,,,,,,,,,,
Worst service makeup artist ritu makeover,worst service,Company's service,,,,,,,,,,,,,,,,
Overpriced services. With minimum check out limits. Like fooling customer.. you can order minimum 200 but their one item is 199 so you have to add more. And GST additionalâ€š Worst even before trying anything. One tap replacement Cost around 300 to 450 just wow,overpriced services,Cost,,,,,,,,,,,,,,,,
"Totally bad response from the team and the professional. They say that they have professionals, but they don't know the meaning of this word. They didn't come in time and I had to reschedule . After reschedule, I got a call from the team and they are asking to cancel the slot and make a new booking. After that the professional which was rescheduled, he cancels the slot. And when you ask for a new professional, they allot the same professional. Is this the meaning of a professional ? Totally bad.",reschedule,Service schedule,,bad response,Customer care,Negative,,,,,,,,,,,,
very convenient,convenient,App functionality,,,,,,,,,,,,,,,,
I am constantly being assigned the same professional who is completely useless and can't do his work . There's literally no way you can change your professional for a complain re-visit . ZERO STARS FOR THIS . Waste of money if you get the wrong guy .,professional who is completely useless,Service quality,,ZERO STARS,App functionality,Negative,can't do his work,Service quality,Negative,,,,,,,,,
Very good service done by UC peoples,good service,Company's service,,,,,,,,,,,,,,,,
Very expensive and not so expertes in tecnitions,Very expensive,Cost,,so expertes,Service quality,Negative,,,,,,,,,,,,
this app is useless app there reply we don't provide services in your area.Don't lie to your customers.at least tell the truth we don't provide services in my areas.,useless app,App utility,,Customer care,Customer care,Negative,never on time,service person's attitue,Negative,,,,,,,,,
Referral program is not working. Referred 3 but got benefit just for 1 referral. No Customer care number is provided on application. Business partner never on time. Heard a lot about it but not worth spending time or money on this app. Bad experience :( Won't recommend it to anyone.,program is not working,App functionality,,,,,,,,,,,,,,,,
I've had a great experience with the services I've availed. My problem is not about the quality of services they provide. I am extremely disappointed that the app has haircut listed under Salon for Men but haircut is not available under Salon for Women.,quality of services,Service quality,,,,,,,,,,,,,,,,
"Very Pathetic Serivce, they even don't use the safety measures in the pandemic situation.",safety measures in the pandemic situation,Company's service,,,,,,,,,,,,,,,,
Service is good but Customer care and app is pathetic.. Customer care has confirmed that will credit 100 in wallet for issue faced but did not credited the same,Customer care,Customer care,,app is pathetic,App utility,Negative,,,,,,,,,,,,
prompt response...,prompt response,Company's service,,,,,,,,,,,,,,,,
"Very bad experience, cooling issue not yet resolved, only 1 day the refrigerator was working fine for cooling & issue occurred the next day itself",issue occurred the next day itself,Company's service,,,,,,,,,,,,,,,,
"I got ac installation done since I had moved apartment. I had complained during that time that the wiring is not done properly, but no follow-up happened. The work was so shoddy that within a year the gas leaked, and pipe is damaged. The technician told me this was a shoddy piece of work and ac gas shouldn't leak in two years of ac purchase Now I'm being told this isn't a concern. I'm disapointed by the service and response. What is worse is when I asked them to delete my info they refused",work was so shoddy,Company's service,,,,,,,,,,,,,,,,
Great experience with UC.,Great experience,Company's service,,,,,,,,,,,,,,,,
"Horrible experience with Customer care of URBANCOMPANY.... on April 07 I was booking Salon service for myself, amount got deducted from my account but booking wasn't confirmed, showing cancelled on application. I thought it will come back within 24 to 48 hours. CS made false promises Been double the time & refund not in yet. Emails have been ignored & calls produced no results. I won't use it anymore and definitely not recommend to anyone. Very much frustrated.",Horrible experience with Customer care,Customer care,,amount got deducted from my account,Payment,Negative,booking wasn't confirmed,service schdule,Negative,,,,,,,,,
Worst experience ever where it takes 20-30 rupees it takes 100 rupees,booking wasn't confirmed,Cost,,,,,,,,,,,,,,,,
too Costly,too Costly,Cost,,,,,,,,,,,,,,,,
team were professional and the work is been carried excellent . and finally they cleaned entire place and sanitized . well I will refer UC to all my friends and colleagues.,work is been carried excellent,Service quality,,,,,,,,,,,,,,,,
nice service,nice service,Company's service,,,,,,,,,,,,,,,,
"Expected professional service from URBAN company, but they proved that they are not capable. I had booked for bathroom and kitchen cleaning and spent lot of money. Yet both of them did a dirty job but got their pay. Seriously guys stop using their services , experienced twice. Don't go for their services, your hard-earned money goes the drain.",dirty job,Service quality,,,,,,,,,,,,,,,,
Fixed my refrigerator in noida.. paid full price for the services.. shifted to Chandigarh and paid again for the services which came under guarantee.. M I suppose to pay every time I shift ??!,paid again for the services,Cost,,,,,,,,,,,,,,,,
great. job. Jenifer did a good job,did a good job,Service quality,,,,,,,,,,,,,,,,
amazing work done,amazing work done,Service quality,,,,,,,,,,,,,,,,
"I booked an AC service and when I was booking the service I was charged extra for ppe kit, gloves and other appropriate measures that the service person will need for the service. When the person arrived he had none of those things and upon asking he told we are not given those things. Absolutely terrible service by urban company, even in today's climate they don't take the health and safety of both service person and the customer.",charged extra,Cost,,health and safety,Company's service,Negative,,,,,,,,,,,,
Providing good service there's no doubt about that but charges are really high ...Booked a service for washing machine and in the charge card I got to pay two charges in the name of labour Cost and discoling process set ...not able to understand how the second one is different from labour Cost ... personally feel that it can be improved...,pay two charges,Cost,,good service,Company's service,Positive,,,,,,,,,,,,
Very bad service by Urban Company. Expecting a call back from customer care.,call back from customer care,Customer care,,,,,,,,,,,,,,,,
Rating 1 because 0 is not available. 0% commitment and absolutely no credibility. Had to reschedule 3 times and call Customer care 3 times and yet did not receive service on time. Please stop fooli g people.,no credibility.,Service quality,,reschedule 3 times,Service person's attitude                                             ,Negative,call Customer care 3 times,Customer care,Negative,,,,,,,,,
excellent service!!.. worth every penny!!,worth every penny,Service quality,,,,,,,,,,,,,,,,
Excellent friendly App,friendly App,App functionality,,,,,,,,,,,,,,,,
"Regarding the UrbanClap senitization service in Hyderabad, I was really disappointed in the process of disinfection. The professionals in Hyderabad do not use the fogging system, only they spray it with chemicals. Which is not a suitable solution to disinfection. However, UrbanClap in Kolkata location use fogging machine to create a fog in the room for initial disinfection and spraying after initial disinfection. My prior experience is good about disinfection service by urbanclap in kolkata.",disappointed in the process of disinfection,Service quality,,,,,,,,,,,,,,,,
Worst Services. They came nd said its not our work that's it . ND I paid for hose pipe but I dint got it they just scammed me,paid for hose pipe,Cost,,scammed me,Company's service,Negative,,,,,,,,,,,,
"Useless service... They screw up on the work and when we book a re-visit, which they claim we are entitled to, they cancel it by themselves.",scammed me,Service quality,,they cancel it by themselves,Service schedule,Positive,,,,,,,,,,,,
I used UC for AC service. And had great experience. Because the technician has all the equipment and was professional. Did service with very professional way.,technician has all the equipment,Service quality,,professional way,service person's attitue,Positive,,,,,,,,,,,,
"Very bad experience, I booked for Ac service technician come and he tells that gas is empty and condenser need repair and charged for that after 20 days Ac stop cooling and I tried for revisit but no response after trying regularly 3 days they Sayed you have to assign fresh booking, I have done that and when new technician had arrived he is saying he has to change whole AC coil and have to charge accordingly.",Ac stop cooling,Service quality,,,,,,,,,,,,,,,,
Waste ..... One unprofessional water filter service person Naresh came & charged 2000 rs.m with in 5 days again water damaged .. he fitted with some cheao parts... Don't prefer this app .... They r charging extra amount for covid precautions eventhough that person will not follow,fitted with some cheao parts,Service quality,,charging extra amount,Cost,Negative,,,,,,,,,,,,
"After all the assessment, I can with 95% accuracy say that my haircut appointment with UC got me infected with covid. Due to lockdown I was not going out since last 2 weeks, this was the only outside human interaction I had. Looks like they don't have the proper checks for virus, for which I don't blame them completely. But beware, the next time you plan on getting a hair cut or ac serviced, you might invite virus into your house. Just avoid everything for now.",UC got me infected with covid,Service quality,,,,,,,,,,,,,,,,
Very high charges as compared to local technicians...also they took Ã¢â€šÂ¹1500 just for topping up the gas which is just looting...will never use their services for anything from now on...looters cheaters fraudsters...,Very high charges,Cost,,,,,,,,,,,,,,,,
Very usefull for memebers who transfers houses frequently,Very high charges,Company's service,,,,,,,,,,,,,,,,
No contact number given . Can you pl tell us the way to directly contact you. Where is the customer care number. Pl reply.,customer care number,Customer care,,,,,,,,,,,,,,,,
Worst app ever!!! I opted for full face threading as a result they are impleting more services which charges more than 1k.worst app ever seen.,impleting more services,Company's service,,charges more than 1k,Cost,Negative,,,,,,,,,,,,
It's the worst service provider app. They have hired bunch of unprofessional people tofix things. Please don't book any service from this app and save some money.,unprofessional people tofix things,Service quality,,,,,,,,,,,,,,,,
Very worst service urban Technician they not trained,not trained,Service quality,,,,,,,,,,,,,,,,
There is no proper help centre to clarify the queries. There are only few predefined queries which will not serve the purpose. I this Help centre needs lot of improvement.,proper help centre,Customer care,,,,,,,,,,,,,,,,
Unable to download the app. Kindly check,proper help centre,App functionality,,,,,,,,,,,,,,,,
GOOD PERSON POLITE. EXCELLENT JOB DONE,POLITE,Service person's attitude                                             ,,EXCELLENT JOB DONE,Service quality,Positive,,,,,,,,,,,,
Excellent service every time!,Excellent service every time,Service quality,,,,,,,,,,,,,,,,
"As per your offer I paid advance Payment of Rs 448/- after discount of Rs 200/-, my first booking schedule on 21/04/2021 and rescheduled many times and service is delay due to your previous technician's not come due to many time they are busy any where and some time due to lockdown. Now today service is done and after service your App shown, I have to pay Rs 200 more, the technician says as per app you have to pay Rs 200, so I have paid cash for balance amount of Rs 200/-",pay Rs 200 more,Payment,,rescheduled many times,Service schedule,Negative,,,,,,,,,,,,
Please don't fall for their ad's as they don't provide the service as advertised.,service as advertised,Company's service,,,,,,,,,,,,,,,,
superb work done by Amit of urban,superb work done,Service quality,,,,,,,,,,,,,,,,
"Pathetic customer service, there is no way to contact the company and complaint or raise an issue regarding anything directly from the app. Got charged twice and all I can do is talk to the professional who visited how come he knows what's wrong. I am strongly motivated to fire a Legal complaint against the company. Don't know what to do.",way to contact the company,Customer care,,,,,,,,,,,,,,,,
Fraud. 3 month gaurantee they say but it's a scam. Waste service. Better look for local guys who does great job @ cheap rate. I will not recommended UC for AC service. Fraud guy Ajay : 74018 24772,it's a scam,Company's service,,rate,Cost,Negative,,,,,,,,,,,,
very happy with the service,happy with the service,Company's service,,,,,,,,,,,,,,,,
"Called them for ac waterleakage checking ,they charged 3000,but still not fixed the water leakage",not fixed the water leakage,Service quality,,charged 3000,Cost,Negative,,,,,,,,,,,,
Service Quality is Good but sometimes product quality is not good.,Service Quality is Good,Service quality,,,,,,,,,,,,,,,,
Dear UC Team THANKS FOR RESOLVING THE ISSUE.... And also thanks for quick response,RESOLVING THE ISSUE,Company's service,,quick response,Customer care,Positive,,,,,,,,,,,,
